2020-04-05 === 19:48:00.078 === [http-nio-8080-exec-1] === INFO  === org.springframework.web.servlet.DispatcherServlet === Completed initialization in 14 ms
2020-04-05 === 20:20:06.790 === [main] === INFO  === com.yan.springboot.SpringBootClientApplication === Starting SpringBootClientApplication on pc with PID 14532 (C:\Users\yan\IdeaProjects\spring-boot-client\target\classes started by yan in C:\Users\yan\IdeaProjects\spring-boot-client)
2020-04-05 === 20:20:06.790 === [main] === INFO  === com.yan.springboot.SpringBootClientApplication === No active profile set, falling back to default profiles: default
2020-04-05 === 20:20:11.046 === [main] === INFO  === org.springframework.boot.web.embedded.tomcat.TomcatWebServer === Tomcat initialized with port(s): 8080 (http)
2020-04-05 === 20:20:11.078 === [main] === INFO  === org.apache.catalina.core.StandardService === Starting service [Tomcat]
2020-04-05 === 20:20:11.078 === [main] === INFO  === org.apache.catalina.core.StandardEngine === Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-04-05 === 20:20:11.406 === [main] === INFO  === org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] === Initializing Spring embedded WebApplicationContext
2020-04-05 === 20:20:11.406 === [main] === INFO  === org.springframework.web.context.ContextLoader === Root WebApplicationContext: initialization completed in 4397 ms
2020-04-05 === 20:20:11.781 === [main] === INFO  === org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor === Initializing ExecutorService 'applicationTaskExecutor'
2020-04-05 === 20:20:11.921 === [main] === INFO  === org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping === Adding welcome page: class path resource [templates/index.html]
2020-04-05 === 20:20:12.312 === [main] === INFO  === org.springframework.boot.web.embedded.tomcat.TomcatWebServer === Tomcat started on port(s): 8080 (http) with context path ''
2020-04-05 === 20:20:12.312 === [main] === INFO  === com.yan.springboot.SpringBootClientApplication === Started SpringBootClientApplication in 7.485 seconds (JVM running for 14.731)
2020-04-05 === 20:20:38.803 === [http-nio-8080-exec-1] === INFO  === org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] === Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-05 === 20:20:38.803 === [http-nio-8080-exec-1] === INFO  === org.springframework.web.servlet.DispatcherServlet === Initializing Servlet 'dispatcherServlet'
2020-04-05 === 20:20:38.812 === [http-nio-8080-exec-1] === INFO  === org.springframework.web.servlet.DispatcherServlet === Completed initialization in 9 ms
2020-04-05 === 20:21:32.579 === [http-nio-8080-exec-7] === ERROR === com.yan.springboot.controller.DownloadController === 下载文件不存在！
